entry_id,title,clause_text,family,predicate,draft_label,is_genuine_gloss,label_correct,notes
24d36abf,Wheres The Funny,to criticize another's sense of humor.,ACTION,criticize,EVALUATE,,,
6823cecc,Why Would You Say Something So Controversial Yet So Brave,in response to relatively banal statements.,RESPONSE,response,RESPOND,,,
33aa440e,Berries and Cream,to express a sense of feeling unusually old-fashioned,EXPRESS,express,EXPRESS,,,
63b72d29,RIPJoeRogan,to troll people.,ACTION,troll,EVALUATE,,,
ca156e25,Holy Shit Its a Dinosaur,paired with various dinosaur-related videos.,CAPTION,pair,CAPTION,,,
98b35301,Bad Bitch Genre,used as a sound for multiple lib dubs.,USED-TO,use_as,STRUCTURAL,,,
e60d07de,Evil Toddler,with captions describing mischievous pranks and behaviors associated with young children.,CAPTION,caption,CAPTION,,,
2ff8ee24,Dilly Dilly,is used in a toast of agreement and praise,USED-TO,use_in,STRUCTURAL,,,
0301d04a,I Would Cry Cry Myself to Sleep,in response to a Sticking Out Your Gyat For the Rizzler video from a goth,RESPONSE,response,RESPOND,,,
5f86814b,5 YouTubers Who Have Sworn,reacts to a remix of the meme.,RESPONSE,react,RESPOND,,,
5465774f,Ambien Walrus,used to treat sleeping disorders that can cause hallucinations and memory loss as a side effect.,USED-TO,treat,RESPOND,,,
a60b3fa6,Whoops Cant Show That in a Christian Manga,used for shitposting purposes on discussion sites and image boards such as 4chan.,USED-TO,use_for,STRUCTURAL,,,
faab1735,BTW I Use Arch,used to make fun of the type of person who feels superior because they use a more difficult Linux distribution.,USED-TO,make_fun_of,EVALUATE,,,
27310a9c,Anime Mom Hair  Dead Mom Hair,commonly used in manga and anime to demonstrate that the character is a housewife.,USED-TO,use_in,STRUCTURAL,,,
6aebb803,Subverting Expectations,used as a positive criticism of these franchises and has since been used as a sarcastic response to the praise.,USED-TO,use_as,STRUCTURAL,,,
5f13f7b1,See Nobody Cares,to convey indifference or apathy towards someone soliciting unwarranted attention.,EXPRESS,convey,EXPRESS,,,
f2c17ef6,You Have Done That Yourself,used to call out a person or group for being at fault for being alienated yet blaming someone else.,USED-TO,call,LABEL,,,
0efecc1f,Party Hard,to express that one should party in an intense way by giving it all.,EXPRESS,express,EXPRESS,,,
faac9d36,4Chan fa Meetup,used in various meme edits.,USED-TO,use_in,STRUCTURAL,,,
923495b1,The Club Cant Even Handle Me Right Now,to express a person's excitement,EXPRESS,express,EXPRESS,,,
908869d3,Funny Error Messages,to indicate a computer or website is malfunctioning while explaining the fake error in a humorous manner or real error messages engineered to be funny.,EXPRESS,indicate,EXPRESS,,,
b04d2b1a,I Herd U Liek Mudkips,is commonly used as an identifier amongst 4chan users outside of the imageboard community,USED-TO,use_as,STRUCTURAL,,,
8bee59fc,We Not Making It Out The Hood,used to mock bad hip-hop songs or beats,USED-TO,mock,EVALUATE,,,
c24b9477,ScreenReaching Hand  Emoji,paired with fourth-wall-breaking captions such as 'You Think You're Safe?' and 'Hand Them Over.',CAPTION,pair,CAPTION,,,
08d843ae,Is That Seat Taken,used as an exploitable source material for ironic memes,USED-TO,use_as,STRUCTURAL,,,
c69831cd,WAGMI  NGMI,used in 4chan and adjacent communities to show comradery and a willingness to keep going in life.,USED-TO,use_in,STRUCTURAL,,,
f0f05db5,Orange Peel Theory,react to the request.,RESPONSE,react,RESPOND,,,
5ff1a0d8,Drawn Togethers Train and Tunnel Scene  Tren Y Túnel,used as an innuendo for a gay sex scene.,USED-TO,use_as,STRUCTURAL,,,
813f2328,Pornhub Community Intro,used in pranking Twitch streamers.,USED-TO,use_in,STRUCTURAL,,,
6aebb803,Subverting Expectations,used for cultural artifacts that some believe make story choices that are unjustified,USED-TO,use_for,STRUCTURAL,,,
c4f09c1c,These Are Not the Droids You Are Looking For,often used to humorously assert that an object/statement is is not representing what it appears to represent.,USED-TO,assert,EXPRESS,,,
74820b80,Logical Fallacy Referee,with captions calling out the use of logically invalid arguments used in online debate.,CAPTION,caption,CAPTION,,,
