token,n_formats,context_1,context_2,context_3
show,1775,thanos 4 months ago @ AWlpsSHOW36 youre going to burn in hell if you do,"n Proudly Kills Endangered Hornbill and Shows Off Online , Now Faces 5 Years In Jail",", robbing me of my livelihood as a quiz show contestant . Now I'm forced to hustle f"
ever,1748,"e Jobs and The Must - Have Music Player Everyone Is Talking About iPod , Therefore ¡",ACEY GOATSE T THEMEN WHOSTARE AT GOATSE EVERY NIGHT IS OPENING NIGHT 17 TAUN 1814 AP,and oturi it bit GOATSE Because you'll never forget your first Goatse
best,1729,ot tolerate me . 2012 I am white but my best friends are Oreos . I am not as delicio,hit you posted is quite possibly the dumbest shit I have ever seen in my life . Your,KING A LONG TIME TO PASS FOR YOU ... AS BEST AS I CAN TELL . I WAS ABLE TO BUILD A C
real,1687,"That's a really nice sandwich you've got , Plerce . I",THAT FAD STARTED AROUND 50 YEARS AGO . REALLY ? OH day,When you like your own post 194 Reality can be whatever I want
girl,1662,attention to the fact that you put your girlfriend in the hospital . FOX NEWS I also,ce bit.ly/2DlpA65 HuffPost Canada Ⓒ The girl who lied about hijab attack deserves an,"o be more specific > teacher's pet type girl begins to answer , but I cut her off >"
someone,1657,WHEN SOMEONE SAYS WE HAVE TOO MUCH THANOS MEMES I us,"HE SAME JOKE ON R / OKBUDDYRETARD AFTER SOMEONE GOT 4 K UPVOTES , HOW CAN YOU TELL ?",ments Comment Mando Gandarillas What if someone turns off this computer ? Like Reply 3
everyone,1653,"e Jobs and The Must - Have Music Player Everyone Is Talking About iPod , Therefore ¡ Am","Hello Everyone , I was born + raised in West Philadelp",CHECK TO THE GOVERNMENT ALONE . I WANT EVERYONE LIKE ME TO PAY MORE TAXES I AM THE 1 %
iphone,1633,sexy lady ! Lol 16 Aug via Twitter for iPhone Favorite Retweet Reply Retweeted by Add,"roke 11:13 PM Oct 15 , 2022 Twitter for iPhone . www whi 0","roke 11:13 PM Oct 15 , 2022 Twitter for iPhone . www whi 0"
view,1611,"ing an USB Flash Drive First Try 18,892 VIEWS 98 % From : ThePornDud3 Impossible ( 1",KYM SPOILER Click to View,ument Elements Tables Charts SmartArt Review Pag Q- Search in Document ABCDE My name
said,1598,Ν AMERICA'S BORDER EVEN AFTERNING SOUTY SAID TO SNEAK IN [ MEN INVE on OLO,"little fight and mom got my scared and said "" Youre moving with your Auntie and Unc","assy "" , repeating it 4 times . He then said he wants to add nephew to the list of s"
live,1553,LIVE rested by Dragon POSEIDON SMA Maslin BU,"racist because "" he has black friends "" LIVE",: drink some water DAYANE You couldn't live with your own failure . Where did that
today,1552,ve ) $ 1500 $ 8.50 STUDENT LOANS $ 2750 Today I scored 99th on GRE I do porn to pay o,$ 100 A New Magic Today at 9:03 AM Tfw the rental gf server cop,$ 100 A New Magic Today at 9:03 AM Tfw the rental gf server cop
tell,1542,chain the pen to the Wrong side of the teller window . They leave me no choice but,THE POSITIVE SIDE : I WON'T BE ABLE TO TELL MY KIDS THAT THEY ARE SCREWED .... BECA,"R SOMEONE GOT 4 K UPVOTES , HOW CAN YOU TELL ?"
free,1514,REFILL YOUR FREEZER IN SECONDS BY FOLLOWING THESE SIMPLE,"'m forced to hustle for a living as a "" freelance writer , "" like that's a thing any",and proud of it . I AM THE 2 % . CALORE FREE COLA Than Whole Mik 2 % Reduced Fat Mil
name,1505,When your name is Ahmad Mann and the substitute mispro,No. @IAM_RodWill A pimp named Thanos is missing his infinity hoes IG,". I am willing to kill my enemies . My name is Ezio Auditore , and I am the 1 %"
post,1497,When you like your own post 194 Reality can be whatever I want,When you like your own post 194 Reality can be whatever I want,"tock "" never takes profit downvotes any post with an exit strategy "" hold the line """
help,1489,Thanos has lost his face and needs your help . •,ob . Theyve all worked very hard . So I help . That's fine . But many of the 99 % ha,UNITED STATES 288 mAybE MORe GUNS WILL HELP ? MORE QUNS ! moRE GUNS !
actually,1441,eople think Santa looks like What Santa actually looks like,eople think Santa looks like What Santa actually looks like,during the day and not at night when we actually need the light I
share,1427,"just me planking a whale no biggie Like Share 6,070 people like this . 102 shares Spo","anks , and fat cats who don't pay their share . That's not fine Not fine atall . I St",L NOT BASS !!! kraxths2 1 month ago 135 Share Uploaded by iConcerts Television on Oct
gonna,1416,to automate it in 10 days 18 THINK I'm gonna do what's called a programmer move .,"st , nor god can slay me . Vishnu : I'm gonna do what's called a pro - gamer move .",el when you're about to trickstab : I'm gonna do what's called a pro gamer move .
retweets,1412,"/18 , 10:46 AM from Shreveport , LA 182 Retweets 192 Likes >","Apr 2 , 2021 - Twitter for iPhone 22.7K Retweets 213 Quote Tweets 176.7K Likes :","LMANNS 10:11 PM - 20 Nov 2017 209 1,050 Retweets 4,485 Likes REAL 1.1K Following 4.5K"
call,1411,nd the substitute mispronounces it They called me a madman,nes Reality can be whatever I want They called me a madman you do i 200tal did it cu,WAS DAMAGED IN THE MILITARY . I WAS MEDICALLY RETIRED AS A WOUNDED WARRIOR AFTER ONL
play,1384,"08 Steve Jobs and The Must - Have Music Player Everyone Is Talking About iPod , Ther",s into a state of shock and thus cannot play any spells for 3 turns . This ability c,Pro tip : use rubber bands to cosplay as Thanos
news,1382,"RAN CONNECTION - IRAQ : A NEW STRONGMAN News k 26,2004-8308 Steve Jobs and The Must",Aug via web✩ Favorite Retweet Reply FOX NEWS FOX NEWS lapologize for referencing the,"ople ? "" Philadelphia 06:40 PM BREAKING NEWS Thanos Pressured To Give Back Infinity"
friend,1364,ntion to the fact that you put your girlfriend in the hospital . FOX NEWS I also appre,When your friend complains about celebrating Christmas i,"he's not racist because "" he has black friends "" LIVE"
face,1363,"E , DONT YOU ? I AM THAT FAMOUS MARTIAN FACE , AND THIS IS MY GOATSE .",Jan Facebook Memology 2011 - Planking Feb Mar Ap,"ce Toyota "" This does put a smile on my face ."
friends,1361,"he's not racist because "" he has black friends "" LIVE",Clorox killed my friends ⒸMH I am the 1 %,lerate me . 2012 I am white but my best friends are Oreos . I am not as delicious as wh
